"Step","rare-sound-100 - train/loss","rare-sound-100 - train/loss__MIN","rare-sound-100 - train/loss__MAX","efficient-universe-99 - train/loss","efficient-universe-99 - train/loss__MIN","efficient-universe-99 - train/loss__MAX"
"0","1.5525","1.5525","1.5525","1.5384","1.5384","1.5384"
"1","1.6617","1.6617","1.6617","1.7374","1.7374","1.7374"
"2","1.4843","1.4843","1.4843","1.2326","1.2326","1.2326"
"3","1.4702","1.4702","1.4702","1.0224","1.0224","1.0224"
"4","1.3369","1.3369","1.3369","1.0183","1.0183","1.0183"
"5","1.2995","1.2995","1.2995","1.0025","1.0025","1.0025"
"6","1.2143","1.2143","1.2143","0.7996","0.7996","0.7996"
"7","1.0735","1.0735","1.0735","0.6393","0.6393","0.6393"
"8","1.0554","1.0554","1.0554","0.6945","0.6945","0.6945"
"9","0.8981","0.8981","0.8981","0.4947","0.4947","0.4947"
"10","0.8884","0.8884","0.8884","0.3769","0.3769","0.3769"
"11","0.8069","0.8069","0.8069","0.3564","0.3564","0.3564"
"12","0.7054","0.7054","0.7054","0.3156","0.3156","0.3156"
"13","0.6462","0.6462","0.6462","0.234","0.234","0.234"
"14","0.5846","0.5846","0.5846","0.1336","0.1336","0.1336"
"15","0.502","0.502","0.502","0.154","0.154","0.154"
"16","0.4438","0.4438","0.4438","0.096","0.096","0.096"
"17","0.4297","0.4297","0.4297","0.0567","0.0567","0.0567"
"18","0.3748","0.3748","0.3748","0.054","0.054","0.054"
"19","0.2987","0.2987","0.2987","0.0429","0.0429","0.0429"
"20","0.3034","0.3034","0.3034","0.0272","0.0272","0.0272"
"21","0.2747","0.2747","0.2747","0.0142","0.0142","0.0142"
"22","0.2289","0.2289","0.2289","0.018","0.018","0.018"
"23","0.2063","0.2063","0.2063","0.0114","0.0114","0.0114"
"24","0.2091","0.2091","0.2091","0.0088","0.0088","0.0088"
"25","0.202","0.202","0.202","0.0082","0.0082","0.0082"
"26","0.1564","0.1564","0.1564","0.0102","0.0102","0.0102"
"27","0.1816","0.1816","0.1816","0.0072","0.0072","0.0072"
"28","0.1806","0.1806","0.1806","0.0051","0.0051","0.0051"
"29","0.1604","0.1604","0.1604","0.0079","0.0079","0.0079"